100000 2000
50 54559 21
154 48263 30
358 54733 74
360 36330 60
419 65622 45
435 46199 39
513 72902 47
539 26534 59
540 34148 58
591 36451 15
599 80164 33
621 85236 38
704 39700 61
714 94626 44
731 21984 18
743 75300 9
768 35791 31
787 36720 43
818 99534 11
889 60997 41
910 84372 6
924 94094 19
974 53448 42
982 21630 16
1003 15142 35
1072 88452 32
1085 65286 7
1103 70770 37
1156 60168 57
1175 16470 26
1223 35632 58
1341 33760 77
1355 38620 31
1465 73135 67
1584 70810 23
1591 60318 43
1612 11294 2
1638 47179 6
1646 67961 78
1671 60139 21
1689 1762 55
1696 3386 6
1703 10479 46
1734 53208 5
1802 90084 70
1819 12974 6
1853 31807 72
1891 12448 79
1912 46356 65
1913 83340 55
1966 40896 2
1969 93306 1
2048 82278 9
2061 50504 26
2121 54529 41
2236 78736 25
2264 69701 76
2267 3296 33
2291 5482 7
2314 30164 26
2317 69066 44
2346 16321 1
2369 53908 61
2387 62854 55
2392 4118 39
2544 13263 23
2559 26846 65
2590 92759 10
2600 20922 68
2620 70499 48
2624 10406 74
2647 76148 12
2657 76606 7
2678 50512 59
2689 44108 62
2793 22022 17
2813 2648 59
2831 74646 67
2838 38016 18
2857 90670 81
2908 26422 9
2924 42034 67
3045 33880 24
3057 23458 62
3069 54414 9
3079 23170 63
3187 13724 59
3200 56188 60
3256 56248 46
3288 46735 11
3339 78052 20
3369 51833 54
3375 41620 60
3401 25783 55
3419 53466 67
3434 29398 20
3445 29878 8
3517 7352 7
3523 10615 75
3568 60966 45
3619 1150 19
3677 52475 16
3723 90260 71
3743 92253 57
3768 58474 54
3770 45354 53
3824 99948 59
3832 88042 29
3863 98160 39
3874 85937 39
3878 28454 8
3948 42236 41
4004 88849 22
4073 47620 9
4074 64388 20
4176 38007 49
4195 56094 36
4228 28028 33
4251 48854 14
4258 54016 1
4381 42179 31
4439 9722 46
4453 33375 33
4512 44060 28
4569 65554 7
4586 86580 38
4649 41716 67
4651 14322 56
4662 99349 44
4686 62962 41
4772 37280 52
4779 85700 22
4783 68146 51
4784 58378 13
4819 26752 77
4826 23699 55
4861 2463 70
4915 52125 27
4942 70644 33
4961 91894 5
5019 2780 35
5036 29845 63
5039 96577 39
5049 48861 35
5050 68268 35
5109 87574 55
5181 22883 9
5233 19158 63
5295 808 3
5452 512 60
5465 38516 60
5498 5738 58
5521 40656 58
5611 51346 48
5614 86360 45
5693 94181 39
5734 86314 7
5776 2440 83
5802 82608 69
5832 89446 9
5847 50558 43
